type,size,n,k,times,encode,decode
cpp,1024,8,1,1000,26997846,8002847
cpp,1024,8,2,1000,13442311,3643175
cpp,1024,8,3,1000,5160069,3812703
cpp,1024,8,4,1000,3717595,4207596
cpp,1024,8,5,1000,2686395,3317061
cpp,1024,8,6,1000,1853977,2646079
cpp,1024,8,7,1000,1220266,2328261
cpp,1024,8,8,1000,4348,143360
cpp,1024,128,16,1000,60204862,14390896
cpp,1024,128,32,1000,46347731,55823309
cpp,1024,128,48,1000,40056515,155754043
cpp,1024,128,64,1000,29411897,337784665
cpp,1024,128,80,1000,23077258,431488856
cpp,1024,128,96,1000,17270924,620527072
cpp,1024,128,112,1000,9100062,821972841
cpp,1024,128,128,1000,4188,17383474
cpp,1048576,8,1,10,146356051,42296228
cpp,1048576,8,2,10,81015307,38018880
cpp,1048576,8,3,10,53731553,39032658
cpp,1048576,8,4,10,39656060,42698034
cpp,1048576,8,5,10,27554012,32314428
cpp,1048576,8,6,10,19137415,24210430
cpp,1048576,8,7,10,12411933,20996162
cpp,1048576,8,8,10,270,407628
cpp,1048576,128,16,10,1113732969,108753785
cpp,1048576,128,32,10,693836165,207053279
cpp,1048576,128,48,10,403696263,246671138
cpp,1048576,128,64,10,380585551,407641975
cpp,1048576,128,80,10,236801098,246974960
cpp,1048576,128,96,10,175202573,187521502
cpp,1048576,128,112,10,87323845,103934176
cpp,1048576,128,128,10,70,314622
cpp,1073741824,8,1,10,184957622354,43293417856
cpp,1073741824,8,2,10,111013342972,40817088054
cpp,1073741824,8,3,10,60765464884,39704571772
cpp,1073741824,8,4,10,65610757976,59934009950
cpp,1073741824,8,5,10,29900718458,33123223242
cpp,1073741824,8,6,10,22919682820,26584867380
cpp,1073741824,8,7,10,13154405588,22755917295
cpp,1073741824,8,8,10,700,1954203040
cpp,1073741824,128,16,10,1780244169891,192405217529
cpp,1073741824,128,32,10,690221536714,688138760529
cpp,1073741824,128,48,10,505177572169,319712233899
cpp,1073741824,128,64,10,403689935245,1391275972831
cpp,1073741824,128,80,10,295397540659,306979764923
cpp,1073741824,128,96,10,221600467738,335792445813
cpp,1073741824,128,112,10,129586050864,140904175430
cpp,1073741824,128,128,10,900,1925058560
pyfinite,1024,8,1,10,3950834,1230001
pyfinite,1048576,8,1,10,4021232366,1221974372
pyfinite,1024,8,2,10,2720355,993728
pyfinite,1048576,8,2,10,2775939702,981553316
pyfinite,1024,8,3,10,2369642,1083135
pyfinite,1048576,8,3,10,2388577938,1053604364
pyfinite,1024,8,4,10,2612352,1260519
pyfinite,1048576,8,4,10,2211556673,1184178829
pyfinite,1024,8,5,10,2033710,1492500
pyfinite,1048576,8,5,10,2100497245,1348833560
pyfinite,1024,8,6,10,2427101,1720190
pyfinite,1048576,8,6,10,2029506444,1538962125
pyfinite,1024,8,7,10,2012252,1900434
pyfinite,1048576,8,7,10,1987799167,1733902454
pyfinite,1024,8,8,10,1976966,2478361
pyfinite,1048576,8,8,10,1920398235,1916488170
pyfinite,1024,128,16,10,26703596,5397796
pyfinite,1048576,128,16,10,27226701736,3390209913
pyfinite,1024,128,32,10,25372266,21072864
pyfinite,1048576,128,32,10,26302324295,6514929533
pyfinite,1024,128,48,10,26309013,57112216
pyfinite,1048576,128,48,10,25910398721,9746000766
pyfinite,1024,128,64,10,25001525,123009204
pyfinite,1048576,128,64,10,25595059871,12845445394
pyfinite,1024,128,80,10,24952173,165652275
pyfinite,1048576,128,80,10,25549565076,16156305313
pyfinite,1024,128,96,10,25549888,228051424
pyfinite,1048576,128,96,10,25422173738,19382372379
pyfinite,1024,128,112,10,26828765,327067136
pyfinite,1048576,128,112,10,25347516059,22464137315
pyfinite,1024,128,128,10,24582624,454617261
pyfinite,1048576,128,128,10,25202057838,25583045959

